Value,Label,Group
UTC,UTC,UTC
UTC-12,UTC-12,Manual Offsets
UTC-11.5,UTC-11:30,Manual Offsets
UTC-11,UTC-11,Manual Offsets
UTC-10.5,UTC-10:30,Manual Offsets
UTC-10,UTC-10,Manual Offsets
UTC-9.5,UTC-9:30,Manual Offsets
UTC-9,UTC-9,Manual Offsets
UTC-8.5,UTC-8:30,Manual Offsets
UTC-8,UTC-8,Manual Offsets
UTC-7.5,UTC-7:30,Manual Offsets
UTC-7,UTC-7,Manual Offsets
UTC-6.5,UTC-6:30,Manual Offsets
UTC-6,UTC-6,Manual Offsets
UTC-5.5,UTC-5:30,Manual Offsets
UTC-5,UTC-5,Manual Offsets
UTC-4.5,UTC-4:30,Manual Offsets
UTC-4,UTC-4,Manual Offsets
UTC-3.5,UTC-3:30,Manual Offsets
UTC-3,UTC-3,Manual Offsets
UTC-2.5,UTC-2:30,Manual Offsets
UTC-2,UTC-2,Manual Offsets
UTC-1.5,UTC-1:30,Manual Offsets
UTC-1,UTC-1,Manual Offsets
UTC-0.5,UTC-0:30,Manual Offsets
UTC+0,UTC+0,Manual Offsets
UTC+0.5,UTC+0:30,Manual Offsets
UTC+1,UTC+1,Manual Offsets
UTC+1.5,UTC+1:30,Manual Offsets
UTC+2,UTC+2,Manual Offsets
UTC+2.5,UTC+2:30,Manual Offsets
UTC+3,UTC+3,Manual Offsets
UTC+3.5,UTC+3:30,Manual Offsets
UTC+4,UTC+4,Manual Offsets
UTC+4.5,UTC+4:30,Manual Offsets
UTC+5,UTC+5,Manual Offsets
UTC+5.5,UTC+5:30,Manual Offsets
UTC+5.75,UTC+5:45,Manual Offsets
UTC+6,UTC+6,Manual Offsets
UTC+6.5,UTC+6:30,Manual Offsets
UTC+7,UTC+7,Manual Offsets
UTC+7.5,UTC+7:30,Manual Offsets
UTC+8,UTC+8,Manual Offsets
UTC+8.5,UTC+8:30,Manual Offsets
UTC+8.75,UTC+8:45,Manual Offsets
UTC+9,UTC+9,Manual Offsets
UTC+9.5,UTC+9:30,Manual Offsets
UTC+10,UTC+10,Manual Offsets
UTC+10.5,UTC+10:30,Manual Offsets
UTC+11,UTC+11,Manual Offsets
UTC+11.5,UTC+11:30,Manual Offsets
UTC+12,UTC+12,Manual Offsets
UTC+12.75,UTC+12:45,Manual Offsets
UTC+13,UTC+13,Manual Offsets
UTC+13.75,UTC+13:45,Manual Offsets
UTC+14,UTC+14,Manual Offsets
56